종목,시가,목표가,시가대비 변동율,현재가,15일 이평선값,매수여부,골든크로스
KRW-BTC,46500000.0,47447500.0,2.04,46175000.0,50212266.666666664,NO,YES
KRW-ETH,3209000.0,3299000.0,2.8,3218000.0,3509200.0,NO,YES
KRW-NEO,25040.0,25845.0,3.21,24550.0,27799.333333333332,NO,YES
KRW-MTL,1680.0,1755.0,4.46,1675.0,1919.3333333333333,NO,YES
KRW-LTC,130700.0,135300.0,3.52,129850.0,147220.0,NO,YES
KRW-XRP,877.0,906.5,3.36,871.0,964.3333333333334,NO,YES
KRW-ETC,32430.0,33980.0,4.78,32750.0,36996.666666666664,NO,YES
KRW-OMG,4840.0,5037.5,4.08,4920.0,5515.666666666667,NO,YES
KRW-SNT,60.8,63.9,5.1,60.4,68.88000000000001,NO,YES
KRW-WAVES,10890.0,11440.0,5.05,11010.0,11991.333333333334,NO,YES
KRW-XEM,120.0,123.5,2.92,120.0,129.8,NO,YES
KRW-QTUM,7295.0,7570.0,3.77,7220.0,8214.666666666666,NO,YES
KRW-LSK,2820.0,2940.0,4.26,2745.0,2978.6666666666665,NO,YES
KRW-STEEM,360.0,377.0,4.72,367.0,401.8666666666667,NO,YES
KRW-XLM,226.0,234.0,3.54,226.0,253.26666666666668,NO,YES
KRW-ARDR,223.0,232.0,4.04,218.0,246.93333333333334,NO,YES
KRW-ARK,981.0,1036.5,5.66,965.0,1125.8666666666666,NO,YES
KRW-STORJ,1135.0,1175.0,3.52,1125.0,1340.6666666666667,NO,YES
KRW-GRS,668.0,692.5,3.67,671.0,738.6666666666666,NO,YES
KRW-REP,17350.0,18225.0,5.04,16980.0,17538.666666666668,NO,YES
KRW-ADA,1085.0,1125.0,3.69,1110.0,1249.0,NO,YES
KRW-SBD,4980.0,5167.5,3.77,5275.0,5397.0,NO,YES
KRW-POWR,607.0,639.0,5.27,595.0,678.4666666666667,NO,YES
KRW-BTG,34370.0,35420.0,3.05,34680.0,38859.333333333336,NO,YES
KRW-ICX,795.0,824.5,3.71,800.0,900.2666666666667,NO,YES
KRW-EOS,2635.0,2707.5,2.75,2640.0,2876.0,NO,YES
KRW-TRX,76.1,78.0,2.5,76.8,78.39333333333335,NO,YES
KRW-SC,10.7,11.0,2.8,10.6,12.333333333333334,NO,YES
KRW-ONT,609.0,628.5,3.2,604.0,663.0,NO,YES
KRW-ZIL,49.7,51.1,2.82,49.0,57.733333333333334,NO,YES
KRW-POLY,433.0,452.0,4.39,425.0,504.93333333333334,NO,YES
KRW-ZRX,661.0,685.5,3.71,662.0,741.8666666666667,NO,YES
KRW-LOOM,88.5,93.25,5.37,86.6,99.04666666666667,NO,YES
KRW-BCH,356450.0,367050.0,2.97,359050.0,389233.3333333333,NO,YES
KRW-BAT,829.0,859.0,3.62,827.0,954.4,NO,YES
KRW-IOST,28.2,29.45,4.43,27.9,31.033333333333335,NO,YES
KRW-RFR,11.1,12.24,10.27,10.8,11.691333333333334,NO,YES
KRW-CVC,298.0,312.5,4.87,294.0,338.73333333333335,NO,YES
KRW-IQ,10.2,10.82,6.13,10.1,11.157333333333334,NO,YES
KRW-IOTA,914.0,944.0,3.28,916.0,1030.4666666666667,NO,YES
KRW-MFT,7.19,7.71,7.23,7.12,8.046666666666667,NO,YES
KRW-ONG,873.0,910.0,4.24,850.0,922.2,NO,YES
KRW-GAS,5800.0,6040.0,4.14,5680.0,6400.666666666667,NO,YES
KRW-UPP,130.0,135.5,4.23,129.0,143.6,NO,YES
KRW-ELF,370.0,386.5,4.46,363.0,416.26666666666665,NO,YES
KRW-KNC,2180.0,2272.5,4.24,2160.0,2401.3333333333335,NO,YES
KRW-BSV,101150.0,103390.0,2.21,103100.0,110880.0,NO,YES
KRW-THETA,3510.0,3680.0,4.84,3475.0,4199.0,NO,YES
KRW-QKC,17.8,18.65,4.78,17.5,19.753333333333334,NO,YES
KRW-BTT,0.0023,0.0,2.17,0.0024,0.00254,NO,YES
KRW-MOC,185.0,193.5,4.59,185.0,209.06666666666666,NO,YES
KRW-ENJ,1790.0,1862.5,4.05,1775.0,2124.0,NO,YES
KRW-TFUEL,204.0,215.0,5.39,199.0,238.86666666666667,NO,YES
KRW-MANA,3220.0,3370.0,4.66,3195.0,3575.0,NO,YES
KRW-ANKR,76.2,79.0,3.67,75.6,89.82666666666667,NO,YES
KRW-AERGO,207.0,220.0,6.28,206.0,240.33333333333334,NO,YES
KRW-ATOM,30140.0,31170.0,3.42,30570.0,33002.0,NO,YES
KRW-TT,8.84,9.37,6.0,8.69,9.81,NO,YES
KRW-CRE,8.19,8.96,9.4,8.07,9.074666666666667,NO,YES
KRW-MBL,6.63,6.93,4.52,6.59,7.3726666666666665,NO,YES
KRW-WAXP,339.0,357.5,5.46,336.0,392.6,NO,YES
KRW-HBAR,286.0,311.0,8.74,278.0,287.46666666666664,NO,YES
KRW-MED,46.3,52.2,12.74,45.9,50.67333333333333,NO,YES
KRW-MLK,983.0,1037.5,5.54,963.0,1046.8,NO,YES
KRW-STPT,107.0,115.0,7.48,105.0,113.73333333333333,NO,YES
KRW-ORBS,76.9,79.25,3.06,76.0,85.19333333333334,NO,YES
KRW-VET,57.5,59.2,2.96,57.7,67.41333333333334,NO,YES
KRW-CHZ,215.0,226.5,5.35,217.0,246.6,NO,YES
KRW-STMX,15.4,16.1,4.55,15.4,17.87333333333333,NO,YES
KRW-DKA,103.0,111.0,7.77,102.0,112.53999999999999,NO,YES
KRW-HIVE,1030.0,1079.5,4.81,1015.0,1234.3333333333333,NO,YES
KRW-KAVA,3715.0,3870.0,4.17,3680.0,4072.3333333333335,NO,YES
KRW-AHT,10.3,11.42,10.83,10.3,11.485999999999999,NO,YES
KRW-LINK,17050.0,17665.0,3.61,16950.0,19248.0,NO,YES
KRW-XTZ,3735.0,3877.5,3.82,3720.0,4572.666666666667,NO,YES
KRW-BORA,1120.0,1157.5,3.35,1155.0,1214.0,NO,YES
KRW-JST,55.4,57.8,4.33,57.0,61.38666666666666,NO,YES
KRW-CRO,491.0,509.5,3.77,490.0,555.5333333333333,NO,YES
KRW-TON,4265.0,4505.0,5.63,4275.0,4778.666666666667,NO,YES
KRW-SXP,1505.0,1580.0,4.98,1565.0,1652.0,NO,YES
KRW-HUNT,851.0,885.5,4.05,831.0,873.5333333333333,NO,YES
KRW-PLA,1020.0,1073.5,5.25,1025.0,1217.0,NO,YES
KRW-DOT,20200.0,20660.0,2.28,19920.0,22559.333333333332,NO,YES
KRW-SRM,2380.0,2460.0,3.36,2365.0,2728.3333333333335,NO,YES
KRW-MVL,9.78,10.36,5.88,9.73,10.710666666666667,NO,YES
KRW-STRAX,1155.0,1205.0,4.33,1145.0,1291.3333333333333,NO,YES
KRW-AQT,2885.0,3032.5,5.11,3000.0,3371.3333333333335,NO,YES
KRW-GLM,392.0,411.5,4.97,384.0,436.1333333333333,NO,YES
KRW-SSX,49.0,51.35,4.8,47.8,54.906666666666666,NO,YES
KRW-META,79.4,84.9,6.93,78.1,90.88000000000001,NO,YES
KRW-FCT2,115.0,120.0,4.35,115.0,128.33333333333334,NO,YES
KRW-CBK,2455.0,2607.5,6.21,2525.0,2787.0,NO,YES
KRW-SAND,3860.0,4072.5,5.51,3865.0,4678.666666666667,NO,YES
KRW-HUM,274.0,285.0,4.01,271.0,296.8666666666667,NO,YES
KRW-DOGE,160.0,164.5,2.81,160.0,173.86666666666667,NO,YES
KRW-STRK,55880.0,61210.0,9.54,57020.0,45624.0,OK,YES
KRW-PUNDIX,894.0,1001.5,12.02,872.0,969.0666666666667,NO,YES
KRW-FLOW,6725.0,7002.5,4.13,6730.0,8170.0,NO,YES
KRW-DAWN,2050.0,2125.0,3.66,2035.0,2292.3333333333335,NO,YES
KRW-AXS,62120.0,65085.0,4.77,61690.0,69830.66666666667,NO,YES
KRW-STX,1420.0,1487.5,4.75,1410.0,1721.3333333333333,NO,YES
KRW-XEC,0.0878,0.09,3.82,0.0878,0.09876666666666667,NO,YES
KRW-SOL,105000.0,108435.0,3.27,106550.0,116423.33333333333,NO,YES
KRW-MATIC,1780.0,1847.5,3.79,1790.0,2043.0,NO,YES
KRW-NU,522.0,539.5,3.35,516.0,612.6666666666666,NO,YES
KRW-AAVE,164100.0,169900.0,3.53,164850.0,189583.33333333334,NO,YES
KRW-1INCH,1735.0,1805.0,4.03,1735.0,2000.6666666666667,NO,YES
KRW-ALGO,986.0,1017.5,3.19,984.0,1102.0,NO,YES
KRW-NEAR,10910.0,11340.0,3.94,10920.0,12740.666666666666,NO,YES
KRW-WEMIX,6255.0,6677.5,6.75,6575.0,6791.0,NO,YES
KRW-AVAX,90600.0,94860.0,4.7,92630.0,101398.66666666667,NO,YES
