,open,high,low,close,volume,value
2022-02-21 09:30:00,168.0,170.0,167.0,170.0,10146260.07359251,1709672896.6288147
2022-02-21 10:00:00,169.0,171.0,168.0,169.0,10487058.65890923,1781412855.9482775
2022-02-21 10:30:00,170.0,171.0,169.0,169.0,11888670.60387152,2024074594.7489076
2022-02-21 11:00:00,169.0,170.0,169.0,170.0,2593877.37146064,439730328.06181127
2022-02-21 11:30:00,170.0,171.0,169.0,169.0,7661085.24943891,1301718745.5283146
2022-02-21 12:00:00,170.0,171.0,169.0,170.0,5129734.85389792,871330371.0268832
2022-02-21 12:30:00,171.0,171.0,169.0,170.0,3735558.41365785,632392577.4521168
2022-02-21 13:00:00,170.0,170.0,169.0,169.0,2127434.09467066,360914199.7827433
2022-02-21 13:30:00,169.0,171.0,169.0,171.0,4832997.73432658,821804341.8588505
2022-02-21 14:00:00,171.0,171.0,170.0,170.0,2187751.5750865,372687496.339677
2022-02-21 14:30:00,170.0,171.0,169.0,170.0,4894783.46747696,832619910.0285897
2022-02-21 15:00:00,169.0,171.0,169.0,170.0,3345585.87405194,568670982.446614
2022-02-21 15:30:00,170.0,171.0,170.0,170.0,2074804.25823466,352903913.7862306
2022-02-21 16:00:00,171.0,171.0,169.0,170.0,5384691.10523775,915225720.2574347
2022-02-21 16:30:00,170.0,171.0,169.0,171.0,5833193.93682288,992934635.6752127
2022-02-21 17:00:00,171.0,172.0,170.0,171.0,14765050.40077993,2525768657.6509047
2022-02-21 17:30:00,170.0,171.0,169.0,169.0,9718885.1617778,1653166210.5784588
2022-02-21 18:00:00,169.0,170.0,169.0,169.0,1389963.84160324,235600932.81715336
2022-02-21 18:30:00,169.0,170.0,168.0,169.0,8898214.25252009,1504628610.5692952
2022-02-21 19:00:00,168.0,170.0,167.0,167.0,9638783.74408378,1620503829.462308
2022-02-21 19:30:00,167.0,168.0,167.0,167.0,11366879.86852244,1899375346.4032524
2022-02-21 20:00:00,167.0,168.0,167.0,167.0,4063936.18085201,679523231.4110019
2022-02-21 20:30:00,167.0,168.0,164.0,166.0,28464731.49871558,4710053930.056601
2022-02-21 21:00:00,166.0,167.0,164.0,166.0,15132379.7361274,2501076430.7762604
2022-02-21 21:30:00,165.0,167.0,165.0,166.0,14871244.35279158,2465130148.2854834
2022-02-21 22:00:00,166.0,166.0,164.0,165.0,9416929.39785093,1555198225.1565971
2022-02-21 22:30:00,165.0,166.0,165.0,166.0,2961796.74469235,489503153.7859608
2022-02-21 23:00:00,165.0,169.0,165.0,167.0,32553370.51914876,5451015788.017776
2022-02-21 23:30:00,168.0,169.0,167.0,169.0,9971548.94256432,1674888224.0602188
2022-02-22 00:00:00,168.0,170.0,167.0,168.0,13397127.42108087,2260008049.33493
2022-02-22 00:30:00,168.0,169.0,167.0,167.0,3544859.39828713,595356389.6942285
2022-02-22 01:00:00,167.0,169.0,167.0,168.0,3289801.97118788,553362530.3383228
2022-02-22 01:30:00,168.0,168.0,167.0,167.0,765352.07082054,128167772.69402878
2022-02-22 02:00:00,168.0,168.0,167.0,167.0,476786.79729321,79862142.87148376
2022-02-22 02:30:00,168.0,168.0,166.0,167.0,3839566.35555414,641361218.4439679
2022-02-22 03:00:00,167.0,168.0,165.0,165.0,11125110.21283305,1842413475.8301435
2022-02-22 03:30:00,165.0,167.0,164.0,166.0,10671482.87630924,1767846511.7547524
2022-02-22 04:00:00,166.0,166.0,164.0,165.0,4483945.93932193,740413645.5204666
2022-02-22 04:30:00,165.0,167.0,165.0,167.0,3171071.04762345,526541766.82240397
2022-02-22 05:00:00,167.0,167.0,165.0,166.0,1949637.31189923,323742749.82027286
2022-02-22 05:30:00,166.0,167.0,165.0,166.0,2789796.42213328,463091383.1484445
2022-02-22 06:00:00,166.0,167.0,165.0,166.0,2101297.70316186,348913264.7865769
2022-02-22 06:30:00,166.0,167.0,161.0,161.0,26283467.63763415,4289053302.7477317
2022-02-22 07:00:00,162.0,162.0,160.0,160.0,31997384.1801111,5148258116.584647
2022-02-22 07:30:00,160.0,162.0,160.0,161.0,11979111.90744396,1926807129.1375575
2022-02-22 08:00:00,161.0,161.0,158.0,159.0,19285830.33846537,3076828067.829068
2022-02-22 08:30:00,159.0,159.0,156.0,158.0,32118000.6817259,5066643835.769745
2022-02-22 09:00:00,158.0,159.0,156.0,159.0,40322244.77690976,6350289907.490946
2022-02-22 09:30:00,159.0,160.0,158.0,159.0,9805276.25014498,1560975643.89878
2022-02-22 10:00:00,159.0,159.0,156.0,156.0,11198535.07960656,1762639836.808293
2022-02-22 10:30:00,156.0,159.0,156.0,158.0,12758941.198394,2013656588.2779293
2022-02-22 11:00:00,158.0,158.0,157.0,157.0,5473761.74232639,864216875.0691836
2022-02-22 11:30:00,158.0,158.0,157.0,158.0,6010427.20132888,948189351.6043532
2022-02-22 12:00:00,158.0,158.0,152.0,155.0,39522645.98570733,6118365918.447846
2022-02-22 12:30:00,155.0,155.0,154.0,155.0,12924802.89882406,1993417943.9034421
2022-02-22 13:00:00,155.0,155.0,153.0,154.0,10725358.77089004,1652501834.8778503
2022-02-22 13:30:00,154.0,155.0,153.0,154.0,10647929.98340253,1642834209.8154175
2022-02-22 14:00:00,154.0,155.0,153.0,154.0,16472656.20333069,2531139815.01532
2022-02-22 14:30:00,154.0,157.0,154.0,154.0,25188330.28193366,3913898035.8271255
2022-02-22 15:00:00,154.0,156.0,154.0,155.0,16263665.55931799,2520424389.9144983
2022-02-22 15:30:00,154.0,156.0,154.0,155.0,5326727.9772298,826437348.4083637
2022-02-22 16:00:00,156.0,156.0,154.0,155.0,9275452.22886523,1438619996.1169012
2022-02-22 16:30:00,155.0,156.0,155.0,155.0,3867162.91325967,600883187.0027742
2022-02-22 17:00:00,155.0,157.0,155.0,157.0,4360578.66661842,680030309.1813982
2022-02-22 17:30:00,157.0,158.0,155.0,158.0,6677840.81543821,1045007506.1223695
2022-02-22 18:00:00,157.0,158.0,156.0,157.0,4557072.53388187,715377260.3994254
2022-02-22 18:30:00,157.0,158.0,156.0,157.0,6237033.3693706,980196559.2004863
2022-02-22 19:00:00,156.0,159.0,156.0,159.0,7226799.02889253,1141999498.375753
2022-02-22 19:30:00,159.0,160.0,157.0,160.0,13332643.80903232,2115611920.487482
2022-02-22 20:00:00,159.0,160.0,158.0,158.0,13275085.9211685,2108636234.2928174
2022-02-22 20:30:00,158.0,159.0,157.0,158.0,8642220.23836758,1365295147.840934
2022-02-22 21:00:00,158.0,159.0,157.0,159.0,6855961.69840986,1082961160.1596806
2022-02-22 21:30:00,158.0,159.0,157.0,158.0,7250055.561484,1146314396.4681754
2022-02-22 22:00:00,159.0,159.0,157.0,158.0,5338014.27953309,842040485.8795624
2022-02-22 22:30:00,158.0,160.0,157.0,158.0,10166078.82185648,1613773231.4520574
2022-02-22 23:00:00,159.0,159.0,157.0,158.0,6626285.63377927,1048414405.1855118
2022-02-22 23:30:00,157.0,160.0,157.0,159.0,11420167.84094658,1809607612.773304
2022-02-23 00:00:00,159.0,160.0,158.0,159.0,8610938.85750077,1369911474.236779
2022-02-23 00:30:00,159.0,160.0,158.0,158.0,3767295.7127351,599477988.4187931
2022-02-23 01:00:00,159.0,159.0,157.0,157.0,7203984.16469903,1137999661.6473238
2022-02-23 01:30:00,158.0,159.0,157.0,158.0,1693799.95945361,267288297.33899647
2022-02-23 02:00:00,157.0,158.0,156.0,157.0,4526429.33289065,711170050.5558028
2022-02-23 02:30:00,157.0,158.0,157.0,158.0,552937.02210677,87008898.87990543
2022-02-23 03:00:00,158.0,158.0,157.0,158.0,937585.8647151,147993573.9956855
2022-02-23 03:30:00,157.0,159.0,157.0,158.0,2412661.97972944,381280573.8622689
2022-02-23 04:00:00,157.0,159.0,157.0,158.0,1975616.10994703,312066954.37946886
2022-02-23 04:30:00,157.0,159.0,157.0,158.0,2447069.51817098,386762791.3244069
2022-02-23 05:00:00,158.0,160.0,158.0,159.0,4180549.05392352,664983652.0470601
2022-02-23 05:30:00,159.0,159.0,158.0,158.0,680182.30727218,107663205.63194318
2022-02-23 06:00:00,159.0,160.0,158.0,159.0,3833977.37640233,609495174.2315859
